2021-09-06:22:22:28.62             |  DEBUG    | PngImagePlugin.py:135                 |PngImagePlugin.call                          |thread MainThread 1996062736                    | STREAM b'IHDR' 16 13
2021-09-06:22:22:28.63             |  DEBUG    | PngImagePlugin.py:135                 |PngImagePlugin.call                          |thread MainThread 1996062736                    | STREAM b'pHYs' 41 9
2021-09-06:22:22:28.64             |  DEBUG    | PngImagePlugin.py:135                 |PngImagePlugin.call                          |thread MainThread 1996062736                    | STREAM b'tIME' 62 7
2021-09-06:22:22:28.64             |  DEBUG    | PngImagePlugin.py:542                 |PngImagePlugin._open                         |thread MainThread 1996062736                    | b'tIME' 62 7 (unknown)
2021-09-06:22:22:28.64             |  DEBUG    | PngImagePlugin.py:135                 |PngImagePlugin.call                          |thread MainThread 1996062736                    | STREAM b'tEXt' 81 25
2021-09-06:22:22:28.65             |  DEBUG    | PngImagePlugin.py:135                 |PngImagePlugin.call                          |thread MainThread 1996062736                    | STREAM b'IDAT' 118 774
2021-09-06:22:22:28.87             |  INFO     | main.py:17                  |main.base_img                      |thread MainThread 1996062736                    | Clearing led matrix
2021-09-06:22:22:28.96             |  INFO     | main.py:75                  |main.<module>                      |thread MainThread 1996062736                    | New measurement
2021-09-06:22:22:28.127            |  INFO     | main.py:81                  |main.<module>                      |thread MainThread 1996062736                    | Raw ambient temperature: 27.04, CPU temperature 45.08, Corrected temperature 17.02
2021-09-06:22:22:28.133            |  INFO     | main.py:84                  |main.<module>                      |thread MainThread 1996062736                    | Humidity 53.34
2021-09-06:22:22:28.134            |  INFO     | main.py:86                  |main.<module>                      |thread MainThread 1996062736                    | Pressure 53.34 hPa
2021-09-06:22:22:28.141            |  INFO     | main.py:59                  |main.get_sensors_serial            |thread MainThread 1996062736                    | Requesting data from arduino
2021-09-06:22:22:38.152            |  WARNING  | main.py:66                  |main.get_sensors_serial            |thread MainThread 1996062736                    | Serial connection with arduino timed out
2021-09-06:22:22:38.153            |  WARNING  | main.py:99                  |main.<module>                      |thread MainThread 1996062736                    | Arduino not present
2021-09-06:22:22:38.159            |  INFO     | main.py:33                  |main.show_data_led                 |thread MainThread 1996062736                    | It's time to shut off the lights
2021-09-07:07:46:05.993            |  DEBUG    | PngImagePlugin.py:135                 |PngImagePlugin.call                          |thread MainThread 1995505680                    | STREAM b'IHDR' 16 13
2021-09-07:07:46:05.996            |  DEBUG    | PngImagePlugin.py:135                 |PngImagePlugin.call                          |thread MainThread 1995505680                    | STREAM b'pHYs' 41 9
2021-09-07:07:46:05.997            |  DEBUG    | PngImagePlugin.py:135                 |PngImagePlugin.call                          |thread MainThread 1995505680                    | STREAM b'tIME' 62 7
2021-09-07:07:46:05.998            |  DEBUG    | PngImagePlugin.py:542                 |PngImagePlugin._open                         |thread MainThread 1995505680                    | b'tIME' 62 7 (unknown)
2021-09-07:07:46:05.998            |  DEBUG    | PngImagePlugin.py:135                 |PngImagePlugin.call                          |thread MainThread 1995505680                    | STREAM b'tEXt' 81 25
2021-09-07:07:46:05.999            |  DEBUG    | PngImagePlugin.py:135                 |PngImagePlugin.call                          |thread MainThread 1995505680                    | STREAM b'IDAT' 118 774
2021-09-07:07:46:06.118            |  DEBUG    | PngImagePlugin.py:135                 |PngImagePlugin.call                          |thread MainThread 1995505680                    | STREAM b'IHDR' 16 13
2021-09-07:07:46:06.119            |  DEBUG    | PngImagePlugin.py:135                 |PngImagePlugin.call                          |thread MainThread 1995505680                    | STREAM b'IDAT' 41 71
2021-09-07:07:46:06.123            |  INFO     | main.py:28                  |main.base_img                      |thread MainThread 1995505680                    | Displayed base forest image
2021-09-07:07:46:06.124            |  INFO     | main.py:75                  |main.<module>                      |thread MainThread 1995505680                    | New measurement
2021-09-07:07:46:06.153            |  INFO     | main.py:81                  |main.<module>                      |thread MainThread 1995505680                    | Raw ambient temperature: 25.59, CPU temperature 51.54, Corrected temperature 11.17
2021-09-07:07:46:06.190            |  INFO     | main.py:84                  |main.<module>                      |thread MainThread 1995505680                    | Humidity 58.14
2021-09-07:07:46:06.224            |  INFO     | main.py:86                  |main.<module>                      |thread MainThread 1995505680                    | Pressure 58.14 hPa
2021-09-07:07:46:06.273            |  INFO     | main.py:59                  |main.get_sensors_serial            |thread MainThread 1995505680                    | Requesting data from arduino
2021-09-07:07:46:06.535            |  DEBUG    | connectionpool.py:811                 |connectionpool._new_conn                     |thread Thread-1 1958458480                    | Starting new HTTPS connection (1): crow.altervista.org
2021-09-07:07:46:07.39             |  DEBUG    | connectionpool.py:400                 |connectionpool._make_request                 |thread Thread-1 1958458480                    | https://crow.altervista.org:443 "POST /meteotest/arduino/receiver.php HTTP/1.1" 200 None
2021-09-07:07:46:16.284            |  WARNING  | main.py:66                  |main.get_sensors_serial            |thread MainThread 1995505680                    | Serial connection with arduino timed out
2021-09-07:07:46:16.285            |  WARNING  | main.py:99                  |main.<module>                      |thread MainThread 1995505680                    | Arduino not present
2021-09-07:07:46:16.286            |  INFO     | main.py:36                  |main.show_data_led                 |thread MainThread 1995505680                    | Showing data on led matrix
2021-09-07:08:04:26.484            |  DEBUG    | PngImagePlugin.py:135                 |PngImagePlugin.call                          |thread MainThread 1995505680                    | STREAM b'IHDR' 16 13
2021-09-07:08:04:26.486            |  DEBUG    | PngImagePlugin.py:135                 |PngImagePlugin.call                          |thread MainThread 1995505680                    | STREAM b'IDAT' 41 57
2021-09-07:08:05:24.696            |  DEBUG    | PngImagePlugin.py:135                 |PngImagePlugin.call                          |thread MainThread 1995505680                    | STREAM b'IHDR' 16 13
2021-09-07:08:05:24.698            |  DEBUG    | PngImagePlugin.py:135                 |PngImagePlugin.call                          |thread MainThread 1995505680                    | STREAM b'IDAT' 41 71
2021-09-07:08:05:24.704            |  INFO     | main.py:28                  |main.base_img                      |thread MainThread 1995505680                    | Displayed base forest image
2021-09-07:08:10:24.733            |  INFO     | main.py:75                  |main.<module>                      |thread MainThread 1995505680                    | New measurement
2021-09-07:08:10:24.739            |  INFO     | main.py:81                  |main.<module>                      |thread MainThread 1995505680                    | Raw ambient temperature: 24.18, CPU temperature 38.09, Corrected temperature 16.44
2021-09-07:08:10:24.746            |  INFO     | main.py:84                  |main.<module>                      |thread MainThread 1995505680                    | Humidity 61.34
2021-09-07:08:10:24.748            |  INFO     | main.py:86                  |main.<module>                      |thread MainThread 1995505680                    | Pressure 61.34 hPa
2021-09-07:08:10:24.751            |  INFO     | main.py:59                  |main.get_sensors_serial            |thread MainThread 1995505680                    | Requesting data from arduino
2021-09-07:08:10:25.796            |  INFO     | main.py:97                  |main.<module>                      |thread MainThread 1995505680                    | Arduino data - PM10: 12.30, PM 2.5: 18.80, Smoke: 252.00
2021-09-07:08:10:25.796            |  INFO     | main.py:36                  |main.show_data_led                 |thread MainThread 1995505680                    | Showing data on led matrix
2021-09-07:08:11:51.26             |  DEBUG    | PngImagePlugin.py:135                 |PngImagePlugin.call                          |thread MainThread 1995505680                    | STREAM b'IHDR' 16 13
2021-09-07:08:11:51.27             |  DEBUG    | PngImagePlugin.py:135                 |PngImagePlugin.call                          |thread MainThread 1995505680                    | STREAM b'IDAT' 41 71
2021-09-07:08:11:51.34             |  INFO     | main.py:28                  |main.base_img                      |thread MainThread 1995505680                    | Displayed base forest image
2021-09-07:08:16:51.93             |  INFO     | main.py:75                  |main.<module>                      |thread MainThread 1995505680                    | New measurement
2021-09-07:08:16:51.99             |  INFO     | main.py:81                  |main.<module>                      |thread MainThread 1995505680                    | Raw ambient temperature: 23.58, CPU temperature 37.55, Corrected temperature 15.82
2021-09-07:08:16:51.117            |  INFO     | main.py:84                  |main.<module>                      |thread MainThread 1995505680                    | Humidity 63.93
2021-09-07:08:16:51.120            |  INFO     | main.py:86                  |main.<module>                      |thread MainThread 1995505680                    | Pressure 63.93 hPa
2021-09-07:08:16:51.122            |  INFO     | main.py:59                  |main.get_sensors_serial            |thread MainThread 1995505680                    | Requesting data from arduino
2021-09-07:08:16:52.170            |  INFO     | main.py:97                  |main.<module>                      |thread MainThread 1995505680                    | Arduino data - PM10: 9.50, PM 2.5: 10.60, Smoke: 251.00
2021-09-07:08:16:52.171            |  INFO     | main.py:36                  |main.show_data_led                 |thread MainThread 1995505680                    | Showing data on led matrix
2021-09-07:08:18:16.674            |  DEBUG    | PngImagePlugin.py:135                 |PngImagePlugin.call                          |thread MainThread 1995505680                    | STREAM b'IHDR' 16 13
2021-09-07:08:18:16.675            |  DEBUG    | PngImagePlugin.py:135                 |PngImagePlugin.call                          |thread MainThread 1995505680                    | STREAM b'IDAT' 41 71
2021-09-07:08:18:16.682            |  INFO     | main.py:28                  |main.base_img                      |thread MainThread 1995505680                    | Displayed base forest image
2021-09-07:08:23:16.783            |  INFO     | main.py:75                  |main.<module>                      |thread MainThread 1995505680                    | New measurement
2021-09-07:08:23:16.789            |  INFO     | main.py:81                  |main.<module>                      |thread MainThread 1995505680                    | Raw ambient temperature: 23.26, CPU temperature 37.55, Corrected temperature 15.32
2021-09-07:08:23:16.796            |  INFO     | main.py:84                  |main.<module>                      |thread MainThread 1995505680                    | Humidity 63.95
2021-09-07:08:23:16.799            |  INFO     | main.py:86                  |main.<module>                      |thread MainThread 1995505680                    | Pressure 63.95 hPa
2021-09-07:08:23:16.801            |  INFO     | main.py:59                  |main.get_sensors_serial            |thread MainThread 1995505680                    | Requesting data from arduino
2021-09-07:08:23:17.851            |  INFO     | main.py:97                  |main.<module>                      |thread MainThread 1995505680                    | Arduino data - PM10: 9.60, PM 2.5: 10.60, Smoke: 255.00
2021-09-07:08:23:17.852            |  INFO     | main.py:36                  |main.show_data_led                 |thread MainThread 1995505680                    | Showing data on led matrix
2021-09-07:08:24:42.673            |  DEBUG    | PngImagePlugin.py:135                 |PngImagePlugin.call                          |thread MainThread 1995505680                    | STREAM b'IHDR' 16 13
2021-09-07:08:24:42.675            |  DEBUG    | PngImagePlugin.py:135                 |PngImagePlugin.call                          |thread MainThread 1995505680                    | STREAM b'IDAT' 41 71
2021-09-07:08:24:42.681            |  INFO     | main.py:28                  |main.base_img                      |thread MainThread 1995505680                    | Displayed base forest image
2021-09-07:08:29:42.689            |  INFO     | main.py:75                  |main.<module>                      |thread MainThread 1995505680                    | New measurement
2021-09-07:08:29:42.695            |  INFO     | main.py:81                  |main.<module>                      |thread MainThread 1995505680                    | Raw ambient temperature: 23.10, CPU temperature 37.55, Corrected temperature 15.08
2021-09-07:08:29:42.701            |  INFO     | main.py:84                  |main.<module>                      |thread MainThread 1995505680                    | Humidity 64.52
2021-09-07:08:29:42.703            |  INFO     | main.py:86                  |main.<module>                      |thread MainThread 1995505680                    | Pressure 64.52 hPa
2021-09-07:08:29:42.706            |  INFO     | main.py:59                  |main.get_sensors_serial            |thread MainThread 1995505680                    | Requesting data from arduino
2021-09-07:08:29:43.753            |  INFO     | main.py:97                  |main.<module>                      |thread MainThread 1995505680                    | Arduino data - PM10: 9.60, PM 2.5: 12.30, Smoke: 253.00
2021-09-07:08:29:43.754            |  INFO     | main.py:36                  |main.show_data_led                 |thread MainThread 1995505680                    | Showing data on led matrix
2021-09-07:08:31:08.549            |  DEBUG    | PngImagePlugin.py:135                 |PngImagePlugin.call                          |thread MainThread 1995505680                    | STREAM b'IHDR' 16 13
2021-09-07:08:31:08.550            |  DEBUG    | PngImagePlugin.py:135                 |PngImagePlugin.call                          |thread MainThread 1995505680                    | STREAM b'IDAT' 41 71
2021-09-07:08:31:08.556            |  INFO     | main.py:28                  |main.base_img                      |thread MainThread 1995505680                    | Displayed base forest image
2021-09-07:08:33:47.491            |  DEBUG    | connectionpool.py:811                 |connectionpool._new_conn                     |thread Thread-1 1958458480                    | Starting new HTTPS connection (1): crow.altervista.org
2021-09-07:08:33:50.151            |  DEBUG    | connectionpool.py:400                 |connectionpool._make_request                 |thread Thread-1 1958458480                    | https://crow.altervista.org:443 "POST /meteotest/arduino/receiver.php HTTP/1.1" 200 None
